libelle,longueur,position,fin,type,nom,champ,table,an,Typer,cla,z,rg,curseur
Dénombrement,2,65,66,,DENOMB,rsf,rafael,16,C,i,,,
Prix Unitaire,7,67,73,,PU,rsf,rafael,16,C,n,,,
Montant Base remboursement,8,74,81,,MTBREM,rsf,rafael,16,C,n,,,
Taux applicable à la prestation,3,82,84,,TAUX,rsf,rafael,16,C,i,,,
Montant Remboursable par la caisse (AMO),8,85,92,,MTREMAMO,rsf,rafael,16,C,n,,,
Montant des honoraire (dépassement compris) ou Montant total de la dépense pour PH,8,93,100,,MTHONOR,rsf,rafael,16,C,n,,,
Montant remboursable par l'organisme complémentaire (AMC),7,101,107,,MTREMAMC,rsf,rafael,16,C,n,,,
Type d’unité fonctionnelle de consultations,2,108,109,,TYUFC,rsf,rafael,16,C,c,,,
Coefficient MCO (1+4),5,110,114,,COEFFMCO,rsf,rafael,16,C,c,,,
N° séquentiel,8,1,8,,NUMSEQ,rsf,rafael,16,B,c,,,
Type d'enregistrement,1,9,9,,TYENR,rsf,rafael,16,B,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,10,10,,TYPFORM,rsf,rafael,16,B,c,,,
N° Facture séquentiel,3,11,13,,NFAQSEQ,rsf,rafael,16,B,c,,,
Année des soins,4,14,17,,AASORT,rsf,rafael,16,B,c,,,
Mois des soins,2,18,19,,MMSORT,rsf,rafael,16,B,c,,,
Délai par rapport à la date d'entrée,5,20,24,,DELAI,rsf,rafael,16,B,i,,,
Numéro FINESS e-PMSI,9,25,33,,NOFINESS,rsf,rafael,16,B,c,,,
Numéro FINESS géographique,9,34,42,,NOFINESSGEO,rsf,rafael,16,B,c,,,
Mode de traitement,2,43,44,,MDTRT,rsf,rafael,16,B,c,,,
Discipline de prestation (ex DMT),3,45,47,,DISPRES,rsf,rafael,16,B,c,,,
Justification exo TM,1,48,48,,EXOTM,rsf,rafael,16,B,trim,,,
Spécialité exécutant,2,49,50,,SPECEX,rsf,rafael,16,B,trim,,,
Code acte,5,51,55,,CODACT,rsf,rafael,16,B,trim,,,
Quantité,3,56,58,,QUANT,rsf,rafael,16,B,i,,,
Coefficient,6,59,64,,COEFF,rsf,rafael,16,B,n,,,
Dénombrement,2,65,66,,DENOMB,rsf,rafael,16,B,i,,,
Prix Unitaire,7,67,73,,PU,rsf,rafael,16,B,n,,,
Montant Base remboursement,8,74,81,,MTBREM,rsf,rafael,16,B,n,,,
Taux applicable à la prestation,3,82,84,,TAUX,rsf,rafael,16,B,i,,,
Montant Remboursable par la caisse (AMO),8,85,92,,MTREMAMO,rsf,rafael,16,B,n,,,
Montant des honoraire (dépassement compris) ou Montant total de la dépense pour PH,8,93,100,,MTHONOR,rsf,rafael,16,B,n,,,
Montant remboursable par l'organisme complémentaire (AMC),7,101,107,,MTREMAMC,rsf,rafael,16,B,n,,,
Coefficient MCO (1+4),5,108,112,,COEFFMCO,rsf,rafael,16,B,c,,,
N° séquentiel,8,1,8,,NUMSEQ,rsf,rafael,16,M,c,,,
Type d'enregistrement,1,9,9,,TYENR,rsf,rafael,16,M,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,10,10,,TYPFORM,rsf,rafael,16,M,c,,,
N° Facture séquentiel,3,11,13,,NFAQSEQ,rsf,rafael,16,M,c,,,
Année de sortie,4,14,17,,AASORT,rsf,rafael,16,M,c,,,
Mois de sortie,2,18,19,,MMSORT,rsf,rafael,16,M,c,,,
Délai par rapport à la date d'entrée,5,20,24,,DELAI,rsf,rafael,16,M,i,,,
Numéro FINESS e-PMSI,9,25,33,,NOFINESS,rsf,rafael,16,M,c,,,
Numéro FINESS géographique,9,34,42,,NOFINESSGEO,rsf,rafael,16,M,c,,,
Mode de traitement,2,43,44,,MDTRT,rsf,rafael,16,M,c,,,
Discipline de prestation (ex DMT),3,45,47,,DISPRES,rsf,rafael,16,M,c,,,
Code CCAM,13,48,60,,CDCCAM,rsf,rafael,16,M,trim,,,
Extension documentaire,1,61,61,,EXTDOC,rsf,rafael,16,M,trim,,,
Activité,1,62,62,,ACTIV,rsf,rafael,16,M,trim,,,
Phase,1,63,63,,PHASE,rsf,rafael,16,M,trim,,,
Modificateur 1,1,64,64,,MODIF1,rsf,rafael,16,M,trim,,,
Modificateur 2,1,65,65,,MODIF2,rsf,rafael,16,M,trim,,,
Modificateur 3,1,66,66,,MODIF3,rsf,rafael,16,M,trim,,,
Modificateur 4,1,67,67,,MODIF4,rsf,rafael,16,M,trim,,,
Code association d'actes non prévue,1,68,68,,ASSNP,rsf,rafael,16,M,trim,,,
Code remboursement sous condition,1,69,69,,REMEX,rsf,rafael,16,M,trim,,,
N° dent 1,2,70,71,,DENT1,rsf,rafael,16,M,trim,,,
N° dent 2,2,72,73,,DENT2,rsf,rafael,16,M,trim,,,
N° dent 3,2,74,75,,DENT3,rsf,rafael,16,M,trim,,,
N° dent 4,2,76,77,,DENT4,rsf,rafael,16,M,trim,,,
N° dent 5,2,78,79,,DENT5,rsf,rafael,16,M,trim,,,
N° dent 6,2,80,81,,DENT6,rsf,rafael,16,M,trim,,,
N° dent 7,2,82,83,,DENT7,rsf,rafael,16,M,trim,,,
N° dent 8,2,84,85,,DENT8,rsf,rafael,16,M,trim,,,
N° dent 9,2,86,87,,DENT9,rsf,rafael,16,M,trim,,,
N° dent 10,2,88,89,,DENT10,rsf,rafael,16,M,trim,,,
N° dent 11,2,90,91,,DENT11,rsf,rafael,16,M,trim,,,
N° dent 12,2,92,93,,DENT12,rsf,rafael,16,M,trim,,,
N° dent 13,2,94,95,,DENT13,rsf,rafael,16,M,trim,,,
N° dent 14,2,96,97,,DENT14,rsf,rafael,16,M,trim,,,
N° dent 15,2,98,99,,DENT15,rsf,rafael,16,M,trim,,,
N° dent 16,2,100,101,,DENT16,rsf,rafael,16,M,trim,,,
N° séquentiel,8,1,8,,NUMSEQ,rsf,rafael,16,P,c,,,
Type d'enregistrement,1,9,9,,TYENR,rsf,rafael,16,P,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,10,10,,TYPFORM,rsf,rafael,16,P,c,,,
N° Facture séquentiel,3,11,13,,NFAQSEQ,rsf,rafael,16,P,c,,,
Année de début de séjour,4,14,17,,AADEB,rsf,rafael,16,P,c,,,
Mois de début de séjour,2,18,19,,MMDEB,rsf,rafael,16,P,c,,,
Délai par rapport à la date d'entrée,5,20,24,,DELAI,rsf,rafael,16,P,i,,,
Numéro FINESS e-PMSi,9,25,33,,NOFINESS,rsf,rafael,16,P,c,,,
Numéro FINESS géographique,9,34,42,,NOFINESSGEO,rsf,rafael,16,P,c,,,
Code référence LPP,13,43,55,,REFLPP,rsf,rafael,16,P,trim,,,
Quantité,2,56,57,,QUANT,rsf,rafael,16,P,i,,,
Tarif référence LPP ou Prix Unitaire sur devis,7,58,64,,TARIF,rsf,rafael,16,P,n,,,
Montant total facturé,7,65,71,,MTTFAC,rsf,rafael,16,P,n,,,
Prix d'achat unitaire,7,72,78,,PU,rsf,rafael,16,P,n,,,
Montant unitaire de l'écart indemnisable,7,79,85,,MTUECART,rsf,rafael,16,P,n,,,
Montant total de l'écart indemnisable,7,86,92,,MTTECART,rsf,rafael,16,P,n,,,
N° séquentiel,8,1,8,,NUMSEQ,rsf,rafael,16,L,c,,,
Type d'enregistrement,1,9,9,,TYENR,rsf,rafael,16,L,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,10,10,,TYPFORM,rsf,rafael,16,L,c,,,
N° Facture séquentiel,3,11,13,,NFAQSEQ,rsf,rafael,16,L,c,,,
Numéro FINESS e-PMSI,9,14,22,,NOFINESS,rsf,rafael,16,L,c,,,
Numéro FINESS géographique,9,23,31,,NOFINESSGEO,rsf,rafael,16,L,c,,,
Rang de bénéficiaire,3,32,34,,RANGB,rsf,rafael,16,L,c,,,
Mode de traitement,2,35,36,,MDTRT,rsf,rafael,16,L,c,,,
Discipline de prestation (ex DMT),3,37,39,,DISPRES,rsf,rafael,16,L,c,,,
Mois et année de l'acte 1,6,40,45,,MAACT1,rsf,rafael,16,L,c,,,
Acte 1 : délai par rapport à la date d'entrée,5,46,50,,DELAI1,rsf,rafael,16,L,i,,,
Quantité acte 1,2,51,52,,QTEACT1,rsf,rafael,16,L,i,,,
Code acte 1,8,53,60,,CODACT1,rsf,rafael,16,L,c,,,
Mois et année de l'acte 2,6,61,66,,MAACT2,rsf,rafael,16,L,c,,,
Acte 2 : délai par rapport à la date d'entrée,5,67,71,,DELAI2,rsf,rafael,16,L,i,,,
Quantité acte 2,2,72,73,,QTEACT2,rsf,rafael,16,L,i,,,
Code acte 2,8,74,81,,CODACT2,rsf,rafael,16,L,c,,,
Mois et année de l'acte 3,6,82,87,,MAACT3,rsf,rafael,16,L,c,,,
Acte 3 : délai par rapport à la date d'entrée,5,88,92,,DELAI3,rsf,rafael,16,L,i,,,
Quantité acte 3,2,93,94,,QTEACT3,rsf,rafael,16,L,i,,,
Code acte 3,8,95,102,,CODACT3,rsf,rafael,16,L,c,,,
Mois et année de l'acte 4,6,103,108,,MAACT4,rsf,rafael,16,L,c,,,
Acte 4 : délai par rapport à la date d'entrée,5,109,113,,DELAI4,rsf,rafael,16,L,i,,,
Quantité acte 4,2,114,115,,QTEACT4,rsf,rafael,16,L,i,,,
Code acte 4,8,116,123,,CODACT4,rsf,rafael,16,L,c,,,
Mois et année de l'acte 5,6,124,129,,MAACT5,rsf,rafael,16,L,c,,,
Acte 5 : délai par rapport à la date d'entrée,5,130,134,,DELAI5,rsf,rafael,16,L,i,,,
Quantité acte 5,2,135,136,,QTEACT5,rsf,rafael,16,L,i,,,
Code acte 5,8,137,144,,CODACT5,rsf,rafael,16,L,c,,,
N° FINESS,9,1,9,c,NOFINESS,rsf,rafael_ano,16,,,,,
Code retour contrôle « n° sécurité sociale »,1,10,10,c,CRNOSEC,rsf,rafael_ano,16,,,,,
Code retour contrôle « date de naissance »,1,11,11,c,CRDNAIS,rsf,rafael_ano,16,,,,,
Code retour contrôle « sexe »,1,12,12,c,CRSEXE,rsf,rafael_ano,16,,,,,
Code retour contrôle « n° d’identification administratif de séjour,1,13,13,c,CRNAS,rsf,rafael_ano,16,,,,,
Code retour contrôle « date de référence» (date d’entrée),1,14,14,c,CRDENTR,rsf,rafael_ano,16,,,,,
N° Anonyme du patient,17,15,31,c,NOANON,rsf,rafael_ano,16,,,,,
N° de séjour,5,32,36,i,NOSEJ,rsf,rafael_ano,16,,,,,
N° séquentiel,8,37,44,c,NUMSEQ,rsf,rafael_ano,16,,,,,
Date d'entree,8,45,52,c,DTENT,rsf,rafael_ano,16,,,,,
Date de sortie,8,53,60,c,DTSORT,rsf,rafael_ano,16,,,,,
Rang du bénéficiaire,3,61,63,c,RGBEN,rsf,rafael_ano,16,,,,,
Rang de naissance,1,64,64,c,RBNAIS,rsf,rafael_ano,16,,,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,A,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,A,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,A,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,A,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,A,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,A,c,,,
Année de sortie,4,32,35,,AASORT,rsf,rafael-maj,16,A,c,,,
Mois de sortie,2,36,37,,MMSORT,rsf,rafael-maj,16,A,c,,,
Numéro FINESS e-PMSI,9,38,46,,NOFINESS,rsf,rafael-maj,16,A,c,,,
AGE,3,47,49,,AGE,rsf,rafael-maj,16,A,i,,,
Sexe,1,50,50,,SEXE,rsf,rafael-maj,16,A,c,,,
Code géographique de résidence,5,51,55,,CDRESID,rsf,rafael-maj,16,A,c,,,
Code civilité,1,56,56,,CIVIL,rsf,rafael-maj,16,A,c,,,
Indicateur du parcours de soins,1,57,57,,INDPS,rsf,rafael-maj,16,A,c,,,
Nature opération,1,58,58,,NATOP,rsf,rafael-maj,16,A,c,,,
Nature assurance,2,59,60,,NATASS,rsf,rafael-maj,16,A,c,,,
Justification d'exonération du TM,1,61,61,,EXOTM,rsf,rafael-maj,16,A,c,,,
Séjour facturable à l’assurance maladie,1,62,62,,SFACAM,rsf,rafael-maj,16,A,c,,,
Motif de la non facturation à l'assurance maladie,1,63,63,,MONFAC,rsf,rafael-maj,16,A,trim,,,
Code Gd régime,2,64,65,,CDGR,rsf,rafael-maj,16,A,c,,,
Total Base Remboursement Prestation hospitalière,8,66,73,,TTBAPH,rsf,rafael-maj,16,A,n,,,
Total remboursable AMO Prestation hospitalières,8,74,81,,TTAMOPH,rsf,rafael-maj,16,A,n,,,
Total honoraire Facturé,8,82,89,,TTHONOR,rsf,rafael-maj,16,A,n,,,
Total honoraire remboursable AM,8,90,97,,TTREMAM,rsf,rafael-maj,16,A,n,,,
Total participation assuré avant OC,8,98,105,,TTPAOC,rsf,rafael-maj,16,A,n,,,
Total remboursable OC pour les PH,8,106,113,,TTOCPH,rsf,rafael-maj,16,A,n,,,
Total remboursable OC pour les honoraires,8,114,121,,TTOCHN,rsf,rafael-maj,16,A,n,,,
Montant total facturé pour PH,8,122,129,,TTFACPH,rsf,rafael-maj,16,A,n,,,
Patient bénéficiaire de la CMU,1,130,130,,PABENCMU,rsf,rafael-maj,16,A,c,,,
Valorisé par FIDES,1,131,131,,VALFIDES,rsf,rafael-maj,16,A,trim,,,
Code gestion 145 146 2,2,132,133,,CDGEST,rsf,rafael-maj,16,A,c,,,
N° d’organisme complémentaire,10,134,143,,CDCOMP,rsf,rafael-maj,16,A,c,,,
Numéro accident du travail ou date d’accident de droit commun,9,144,152,,NUMACC,rsf,rafael-maj,16,A,trim,,,
Type modification (annule - remplace = 4; nouvelle facture =3),1,153,153,,LAMDAMODIF,rsf,rafael-maj,16,A,c,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,H,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,H,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,H,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,H,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,H,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,H,c,,,
Année de début de séjour,4,32,35,,AASORT,rsf,rafael-maj,16,H,c,,,
Mois de début de séjour,2,36,37,,MMSORT,rsf,rafael-maj,16,H,c,,,
Délai par rapport à la date d'entrée,5,38,42,,DELAI,rsf,rafael-maj,16,H,i,,,
Numéro FINESS e-PMSI,9,43,51,,NOFINESS,rsf,rafael-maj,16,H,c,,,
Code UCD,7,52,58,,CDUCD,rsf,rafael-maj,16,H,c,,,
Coefficient de fractionnement,5,59,63,,COEFFRAC,rsf,rafael-maj,16,H,i,,,
Prix d'achat unitaire TTC,7,64,70,,PU,rsf,rafael-maj,16,H,n,,,
Montant unitaire de l'écart indemnisable,7,71,77,,MTUECART,rsf,rafael-maj,16,H,n,,,
Montant total de l'écart indemnisable,7,78,84,,MTTECART,rsf,rafael-maj,16,H,n,,,
Quantité,3,85,87,,QUANT,rsf,rafael-maj,16,H,i,,,
Montant total facturé TTC,7,88,94,,MTTFAC,rsf,rafael-maj,16,H,n,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,C,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,C,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,C,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,C,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,C,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,C,c,,,
Année des soins,4,32,35,,AASORT,rsf,rafael-maj,16,C,c,,,
Mois des soins,2,36,37,,MMSORT,rsf,rafael-maj,16,C,c,,,
Délai par rapport à la date d'entrée,5,38,42,,DELAI,rsf,rafael-maj,16,C,i,,,
Numéro FINESS e-PMSI,9,43,51,,NOFINESS,rsf,rafael-maj,16,C,c,,,
Mode de traitement,2,52,53,,MDTRT,rsf,rafael-maj,16,C,c,,,
Discipline de prestation (ex DMT),3,54,56,,DISPRES,rsf,rafael-maj,16,C,c,,,
Justification exo TM,1,57,57,,EXOTM,rsf,rafael-maj,16,C,trim,,,
Spécialité exécutant,2,58,59,,SPECEX,rsf,rafael-maj,16,C,trim,,,
Code acte,5,60,64,,CODACT,rsf,rafael-maj,16,C,trim,,,
Quantité,3,65,67,,QUANT,rsf,rafael-maj,16,C,i,,,
Coefficient,6,68,73,,COEFF,rsf,rafael-maj,16,C,n,,,
Dénombrement,2,74,75,,DENOMB,rsf,rafael-maj,16,C,i,,,
Prix Unitaire,7,76,82,,PU,rsf,rafael-maj,16,C,n,,,
Montant Base remboursement,8,83,90,,MTBREM,rsf,rafael-maj,16,C,n,,,
Taux applicable à la prestation,3,91,93,,TAUX,rsf,rafael-maj,16,C,i,,,
Montant Remboursable par la caisse (AMO),8,94,101,,MTREMAMO,rsf,rafael-maj,16,C,n,,,
Montant des honoraire (dépassement compris) ou Montant total de la dépense pour PH,8,102,109,,MTHONOR,rsf,rafael-maj,16,C,n,,,
Montant remboursable par l'organisme complémentaire (AMC),7,110,116,,MTREMAMC,rsf,rafael-maj,16,C,n,,,
Type d’unité fonctionnelle de consultations,2,117,118,,TYUFC,rsf,rafael-maj,16,C,trim,,,
Coefficient MCO (1+4),5,119,123,,COEFFMCO,rsf,rafael-maj,16,C,c,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,B,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,B,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,B,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,B,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,B,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,B,c,,,
Année des soins,4,32,35,,AASORT,rsf,rafael-maj,16,B,c,,,
Mois des soins,2,36,37,,MMSORT,rsf,rafael-maj,16,B,c,,,
Délai par rapport à la date d'entrée,5,38,42,,DELAI,rsf,rafael-maj,16,B,i,,,
Numéro FINESS e-PMSI,9,43,51,,NOFINESS,rsf,rafael-maj,16,B,c,,,
Mode de traitement,2,52,53,,MDTRT,rsf,rafael-maj,16,B,c,,,
Discipline de prestation (ex DMT),3,54,56,,DISPRES,rsf,rafael-maj,16,B,trim,,,
Justification exo TM,1,57,57,,EXOTM,rsf,rafael-maj,16,B,trim,,,
Spécialité exécutant,2,58,59,,SPECEX,rsf,rafael-maj,16,B,trim,,,
Code acte,5,60,64,,CODACT,rsf,rafael-maj,16,B,trim,,,
Quantité,3,65,67,,QUANT,rsf,rafael-maj,16,B,i,,,
Coefficient,6,68,73,,COEFF,rsf,rafael-maj,16,B,n,,,
Dénombrement,2,74,75,,DENOMB,rsf,rafael-maj,16,B,i,,,
Prix Unitaire,7,76,82,,PU,rsf,rafael-maj,16,B,n,,,
Montant Base remboursement,8,83,90,,MTBREM,rsf,rafael-maj,16,B,n,,,
Taux applicable à la prestation,3,91,93,,TAUX,rsf,rafael-maj,16,B,i,,,
Montant Remboursable par la caisse (AMO),8,94,101,,MTREMAMO,rsf,rafael-maj,16,B,n,,,
Montant des honoraire (dépassement compris) ou Montant total de la dépense pour PH,8,102,109,,MTHONOR,rsf,rafael-maj,16,B,n,,,
Montant remboursable par l'organisme complémentaire (AMC),7,110,116,,MTREMAMC,rsf,rafael-maj,16,B,n,,,
Coefficient MCO (1+4),5,117,121,,COEFFMCO,rsf,rafael-maj,16,B,c,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,M,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,M,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,M,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,M,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,M,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,M,c,,,
Année de sortie,4,32,35,,AASORT,rsf,rafael-maj,16,M,c,,,
Mois de sortie,2,36,37,,MMSORT,rsf,rafael-maj,16,M,c,,,
Délai par rapport à la date d'entrée,5,38,42,,DELAI,rsf,rafael-maj,16,M,i,,,
Numéro FINESS e-PMSI,9,43,51,,NOFINESS,rsf,rafael-maj,16,M,c,,,
Mode de traitement,2,52,53,,MDTRT,rsf,rafael-maj,16,M,c,,,
Discipline de prestation (ex DMT),3,54,56,,DISPRES,rsf,rafael-maj,16,M,c,,,
Code CCAM,13,57,69,,CDCCAM,rsf,rafael-maj,16,M,trim,,,
Extension documentaire,1,70,70,,EXTDOC,rsf,rafael-maj,16,M,trim,,,
Activité,1,71,71,,ACTIV,rsf,rafael-maj,16,M,trim,,,
Phase,1,72,72,,PHASE,rsf,rafael-maj,16,M,trim,,,
Modificateur 1,1,73,73,,MODIF1,rsf,rafael-maj,16,M,trim,,,
Modificateur 2,1,74,74,,MODIF2,rsf,rafael-maj,16,M,trim,,,
Modificateur 3,1,75,75,,MODIF3,rsf,rafael-maj,16,M,trim,,,
Modificateur 4,1,76,76,,MODIF4,rsf,rafael-maj,16,M,trim,,,
Code association d'actes non prévue,1,77,77,,ASSNP,rsf,rafael-maj,16,M,trim,,,
Code remboursement sous condition,1,78,78,,REMEX,rsf,rafael-maj,16,M,trim,,,
N° dent 1,2,79,80,,DENT1,rsf,rafael-maj,16,M,trim,,,
N° dent 2,2,81,82,,DENT2,rsf,rafael-maj,16,M,trim,,,
N° dent 3,2,83,84,,DENT3,rsf,rafael-maj,16,M,trim,,,
N° dent 4,2,85,86,,DENT4,rsf,rafael-maj,16,M,trim,,,
N° dent 5,2,87,88,,DENT5,rsf,rafael-maj,16,M,trim,,,
N° dent 6,2,89,90,,DENT6,rsf,rafael-maj,16,M,trim,,,
N° dent 7,2,91,92,,DENT7,rsf,rafael-maj,16,M,trim,,,
N° dent 8,2,93,94,,DENT8,rsf,rafael-maj,16,M,trim,,,
N° dent 9,2,95,96,,DENT9,rsf,rafael-maj,16,M,trim,,,
N° dent 10,2,97,98,,DENT10,rsf,rafael-maj,16,M,trim,,,
N° dent 11,2,99,100,,DENT11,rsf,rafael-maj,16,M,trim,,,
N° dent 12,2,101,102,,DENT12,rsf,rafael-maj,16,M,trim,,,
N° dent 13,2,103,104,,DENT13,rsf,rafael-maj,16,M,trim,,,
N° dent 14,2,105,106,,DENT14,rsf,rafael-maj,16,M,trim,,,
N° dent 15,2,107,108,,DENT15,rsf,rafael-maj,16,M,trim,,,
N° dent 16,2,109,110,,DENT16,rsf,rafael-maj,16,M,trim,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,P,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,P,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,P,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,P,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,P,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,P,c,,,
Année de début de séjour,4,32,35,,AADEB,rsf,rafael-maj,16,P,c,,,
Mois de début de séjour,2,36,37,,MMDEB,rsf,rafael-maj,16,P,c,,,
Délai par rapport à la date d'entrée,5,38,42,,DELAI,rsf,rafael-maj,16,P,i,,,
Numéro FINESS e-PMSi,9,43,51,,NOFINESS,rsf,rafael-maj,16,P,c,,,
Code référence LPP,13,52,64,,REFLPP,rsf,rafael-maj,16,P,trim,,,
Quantité,2,65,66,,QUANT,rsf,rafael-maj,16,P,i,,,
Tarif référence LPP ou Prix Unitaire sur devis,7,67,73,,TARIF,rsf,rafael-maj,16,P,n,,,
Montant total facturé,7,74,80,,MTTFAC,rsf,rafael-maj,16,P,n,,,
Prix d'achat unitaire,7,81,87,,PU,rsf,rafael-maj,16,P,n,,,
Montant unitaire de l'écart indemnisable,7,88,94,,MTUECART,rsf,rafael-maj,16,P,n,,,
Montant total de l'écart indemnisable,7,95,101,,MTTECART,rsf,rafael-maj,16,P,n,,,
N° FINESS émetteur,9,1,9,,NOFINESSE,rsf,rafael-maj,16,L,c,,,
N° séquentiel LAMDA,9,10,18,,NOLAMDA,rsf,rafael-maj,16,L,c,,,
N° séquentiel,8,19,26,,NUMSEQ,rsf,rafael-maj,16,L,c,,,
Type d'enregistrement,1,27,27,,TYENR,rsf,rafael-maj,16,L,c,,,
"Type de format RSF (1 : ancien, 2 : nouveau)",1,28,28,,TYPFORM,rsf,rafael-maj,16,L,c,,,
N° Facture séquentiel,3,29,31,,NFAQSEQ,rsf,rafael-maj,16,L,c,,,
Numéro FINESS e-PMSI,9,32,40,,NOFINESS,rsf,rafael-maj,16,L,c,,,
Rang de bénéficiaire,3,41,43,,RANGB,rsf,rafael-maj,16,L,c,,,
Mode de traitement,2,44,45,,MDTRT,rsf,rafael-maj,16,L,c,,,
Discipline de prestation (ex DMT),3,46,48,,DISPRES,rsf,rafael-maj,16,L,c,,,
Mois et année de l'acte 1,6,49,54,,MAACT1,rsf,rafael-maj,16,L,c,,,
Acte 1 : délai par rapport à la date d'entrée,5,55,59,,DELAI1,rsf,rafael-maj,16,L,i,,,
Quantité acte 1,2,60,61,,QTEACT1,rsf,rafael-maj,16,L,i,,,
Code acte 1,8,62,69,,CODACT1,rsf,rafael-maj,16,L,c,,,
Mois et année de l'acte 2,6,70,75,,MAACT2,rsf,rafael-maj,16,L,c,,,
Acte 2 : délai par rapport à la date d'entrée,5,76,80,,DELAI2,rsf,rafael-maj,16,L,i,,,
Quantité acte 2,2,81,82,,QTEACT2,rsf,rafael-maj,16,L,i,,,
Code acte 2,8,83,90,,CODACT2,rsf,rafael-maj,16,L,c,,,
Mois et année de l'acte 3,6,91,96,,MAACT3,rsf,rafael-maj,16,L,c,,,
Acte 3 : délai par rapport à la date d'entrée,5,97,101,,DELAI3,rsf,rafael-maj,16,L,i,,,
Quantité acte 3,2,102,103,,QTEACT3,rsf,rafael-maj,16,L,i,,,
Code acte 3,8,104,111,,CODACT3,rsf,rafael-maj,16,L,c,,,
Mois et année de l'acte 4,6,112,117,,MAACT4,rsf,rafael-maj,16,L,c,,,
Acte 4 : délai par rapport à la date d'entrée,5,118,122,,DELAI4,rsf,rafael-maj,16,L,i,,,
Quantité acte 4,2,123,124,,QTEACT4,rsf,rafael-maj,16,L,i,,,
Code acte 4,8,125,132,,CODACT4,rsf,rafael-maj,16,L,c,,,
Mois et année de l'acte 5,6,133,138,,MAACT5,rsf,rafael-maj,16,L,c,,,
Acte 5 : délai par rapport à la date d'entrée,5,139,143,,DELAI5,rsf,rafael-maj,16,L,i,,,
Quantité acte 5,2,144,145,,QTEACT5,rsf,rafael-maj,16,L,i,,,
Code acte 5,8,146,153,,CODACT5,rsf,rafael-maj,16,L,c,,,
N° FINESS émetteur,9,1,9,c,NOFINESSE,rsf,rafael_ano-maj,16,,,,,
